"ID_Vaca","Grupo","Estatus","DIM","Leche_AM","Leche_Total","Leche_Anterior","Variacion","CCS","Lact_N","Status_Repro","Casos_Mastitis","Dias_Faltan_Parto","Fecha_Secado","Tipo","Status_Final","Fecha_Nac","Edad_Meses","Categoria","Toro_Padre"
"2833","4","Preñ2","532","12.83","24.5","24.4","-0.19","13565","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2871","4","Matar","551","13.23","25.4","24","-0.47","13876","0","0","3","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2942","4","Insem","398","19.52","38.1","35.6","-0.53","7950","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2950","4","Preñ","408","17.4","35","34","-0.29","8718","4","Preñ","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2995","4","Preñ2","549","13.28","26.8","26","-0.23","12869","0","0","3","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3023","4","Preñ2","410","20.01","37.9","28.9","-3.19","7933","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3047","4","Preñ","537","16","33.1","31.7","0.01","14132","2","Preñ","0","-1","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"3117","4","Insem","394","19.71","38.3","36.6","-0.43","7601","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3134","4","Preñ","405","16.68","34.2","32.3","-0.1","7548","2","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3143","4","Preñ2","412","17.85","36.5","35","-0.23","7854","0","0","1","-29","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"3144","4","Preñ","471","12.61","24.2","23.2","-0.03","8602","2","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3163","4","Preñ","401","17.5","34.3","34.3","-0.24","7311","2","Preñ","3","4","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"3169","4","Preñ","439","16.37","33.3","32.3","-0.2","9256","2","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3367","6","Alta","217","14.1","31.6","33","-0.34","736","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3374","6","Alta","240","18.1","35.3","34.8","-0.43","1522","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3392","6","Alta","210","14.24","27.9","26.6","0.47","375","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3394","6","Alta","232","18.71","37.6","36.6","0.02","1166","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3396","6","Alta","212","13.84","28","27.3","0.27","521","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3402","6","Alta","233","14.04","28.1","26.9","0.09","605","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3403","6","Alta","231","21.08","40.5","40.1","-0.09","1417","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3404","6","Alta","224","16.65","32","30.5","0.05","727","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3405","6","Alta","226","16.78","30.2","29.4","-0.21","881","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3411","6","Alta","207","16.46","31.7","30.5","0.13","435","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3412","6","Alta","204","18.7","38.3","38.1","0.53","502","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3413","6","Alta","199","13.63","26.6","27.1","0.56","115","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3343","8","Alta","243","18.86","39.5","39.2","-0.29","1749","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3355","8","Insem","283","19.82","39.8","39","-0.08","2533","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3365","8","Insem","277","19.57","38.9","37.7","-0.16","2011","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3370","8","Alta","243","16.35","33.3","33.2","-0.18","1442","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3377","8","Vacia","270","16.37","32.9","31.7","-0.06","2128","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3381","8","Vacia","265","16.7","33.6","33.3","1.54","2053","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3386","8","Insem","272","17.71","34.7","33.2","0.61","1965","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3387","8","Vacia","254","16.93","33.5","32","-0.77","1870","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3391","8","Vacia","255","15.86","32.3","32.4","-0.25","1697","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3395","8","Vacia","254","14.55","32.8","31.5","0.2","1515","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3398","8","Alta","251","17.16","33.4","34.3","-0.42","1768","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3399","8","Vacia","260","17.34","35.6","34.3","-0.01","2233","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3400","8","Alta","248","12.09","27.1","27.3","-0.11","1405","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
