"ID_Vaca","Estatus","Grupo","DIM","Fecha_Ult_Parto","Comentarios","Prod_24h","Nro_Inseminaciones","Fecha_Ult_Insem"
"3251","Insem","25","540","29-09-24","HEMBRA 35 ADE+SENSI",29.6,4,"15-09-25"
"3272","Matar","25","538","1-10-24","HEMBRA 35 ADE+SENSI",30.1,5,"8-04-25"
"3279","Matar","25","530","9-10-24","HEMBRA 35 ADE+SEN+M",27.5,5,"8-04-25"
"3269","Insem","25","528","11-10-24","HEMBRA 35 ADE+SENSI",29.2,5,"25-08-25"
"3317","Insem","25","374","14-03-25","HEMBRA 36 ADE+SEN+M",32.2,4,"6-09-25"
"3292","Abort","18","436","11-01-25","MACHO 934 ADE+SENSI",37.7,3,"7-07-25"
"3073","Insem","14","366","22-03-25","HEMBRA 36 ADE+MET+Q",39.4,3,"15-09-25"
"3199","Insem","14","353","4-04-25","MACHO 934 ADE+PROPI",28.1,4,"13-09-25"
"2691","Insem","14","351","6-04-25","HEMBRA 36 ADE+PRO+M",48.3,3,"1-09-25"
"3211","Insem","14","330","27-04-25","MACHO 934 ADE+PROPI",33.6,3,"1-09-25"
"2979","Insem","12","412","4-02-25","MACHO 934 AD+RUM+ME",38.4,3,"15-09-25"
"3027","Insem","12","367","21-03-25","MACHO 934 ADE+RUM+M",37.2,3,"26-08-25"
"3161","Insem","11","405","11-02-25","HEMBRA 35 ADE+METR+",27.7,3,"1-09-25"
"3368","Insem","11","329","28-04-25","HEMBRA 36 ADE+SEN+M",40.9,4,"17-09-25"
"2871","Matar","4","551","18-09-24","MACHO 934 ADE+PRO+M",24,7,"18-06-25"
"2942","Insem","4","398","18-02-25","HEMBRA 35 AD+RUM+ME",35.6,3,"1-09-25"
"3117","Insem","4","394","22-02-25","MACHO 934 ADE+RUMIN",36.6,3,"1-09-25"
