"ID_Vaca","Grupo","Nombre","Estatus","Edad_1ra_Ins","Fecha_Insem","Toro","Fecha_Parto_Est","Dias_Faltan","Edad_Est_Parto"
"3439","36","HECKER S","Preñ",13,"18-05-25","TENTASTI","21-02-26",-30,24.9
"3467","36","HECKER S","Preñ",13.2,"18-05-25","PACE SEX","21-02-26",-30,22.5
"3455","36","HECKER S","Preñ",14,"19-05-25","PACE SEX","22-02-26",-29,23.3
"3469","36","HECKER S","Preñ",13.3,"21-05-25","TENTASTI","24-02-26",-27,22.6
"3468","36","RENEGADE","Preñ",13.4,"24-05-25","TENTASTI","27-02-26",-24,22.7
"3463","46","POLICE K","Preñ",13.1,"2-06-25","PARFECT","8-03-26",-15,23.1
"3473","46","RENEGADE","Preñ",13.2,"3-06-25","TENTASTI","9-03-26",-14,22.5
"3474","46","LEDYARD","Preñ",13.2,"7-06-25","PARFECT","13-03-26",-10,22.5
"3450","46","POLICE Z","Preñ",13.1,"8-06-25","HECKER","14-03-26",-9,24.3
"3453","46","LEDYARD","Preñ",13.3,"23-06-25","TENTASTI","29-03-26",6,24.6
"3478","77","LEGENDAI","Preñ",13.2,"24-06-25","PARFECT","30-03-26",7,22.5
"3479","46","LUCKY SE","Preñ",13.2,"26-06-25","EIFEL SE","1-04-26",9,22.5
"3483","46","RENEGADE","Preñ",12.9,"26-06-25","TENTASTI","1-04-26",9,22.2
"3457","46","HECKER S","Preñ",12.7,"28-06-25","TENTASTI","3-04-26",11,24.5
"3481","46","LUCKY SE","Preñ",13.2,"1-07-25","EIFEL SE","6-04-26",14,22.5
"3486","46","RENEGADE","Preñ",13.2,"7-07-25","EIFEL SE","12-04-26",20,22.5
"3489","46","LUCKY SE","Preñ",13,"7-07-25","EIFEL SE","12-04-26",20,22.3
