"ID_Vaca","Reg","Estatus","Grupo","Edad_1ra_Ins","Nro_Inseminaciones","Fecha_Ult_Insem","Dias_desde_Insem","Edad_Meses_Act"
"3484","3484","Insem","77",15.1,1,"1-09-25",203,21.6
"3511","3511","Insem","55",13.9,1,"24-08-25",211,20.7
"3517","3517","Insem","55",13.3,1,"24-08-25",211,20
"3503","3503","Insem","55",12.9,3,"30-08-25",205,20.8
"3501","3501","Insem","55",13.2,2,"5-09-25",199,20.8
"3477","3477","Insem","55",13.1,4,"7-09-25",197,22
"3520","3520","Insem","55",12.9,2,"11-09-25",193,19.8
"3497","3497","Insem","55",13.4,2,"11-09-25",193,20.9
"3507","3507","Insem","55",13.9,2,"15-09-25",189,20.7
"3522","3522","Insem","55",13,2,"15-09-25",189,19.7
"3515","3515","Insem","55",13.1,2,"16-09-25",188,20.3
"3512","3512","Insem","55",13.7,2,"17-09-25",187,20.3
"3492","3492","Insem","55",12.9,2,"22-09-25",182,21.1
"3490","3490","Insem","55",12.9,5,"23-09-25",181,21.2
"3530","3530","Insem","45",12.7,1,"27-08-25",208,19.4
"3524","3524","Insem","45",13,1,"28-08-25",207,19.6
"3535","3535","Insem","45",12.7,1,"1-09-25",203,19.2
"3536","3536","Insem","45",12.7,1,"3-09-25",201,19.1
"3527","3527","Insem","45",13.2,1,"4-09-25",200,19.5
"3528","3528","Insem","45",13.2,1,"6-09-25",198,19.5
"3538","3538","Insem","45",12.8,1,"8-09-25",196,19
"3526","3526","Insem","45",13.3,1,"8-09-25",196,19.6
"3534","3534","Insem","45",13,1,"11-09-25",193,19.2
"3542","3542","Insem","45",12.9,1,"13-09-25",191,19
"3541","3541","Insem","45",12.9,1,"14-09-25",190,19
"3523","3523","Insem","45",12.8,2,"16-09-25",188,19.7
"3513","3513","Insem","45",13.7,2,"17-09-25",187,20.3
"3548","3548","Insem","45",12.7,1,"21-09-25",183,18.6
"3521","3521","Insem","45",14,1,"23-09-25",181,19.8
