CCDD,PROD_PROMEDIO,N_REGISTROS,DEP_KEY_CODE
01,526.9245393963151,2551,01
05,642.4978683088584,2111,05
06,367.6614819004525,1768,06
08,973.6167741935484,775,08
10,1075.7712027344585,4681,10
12,1846.1280898876405,1335,12
13,268.16614420062695,319,13
14,98.05755395683454,139,14
15,2.0,25,15
16,837.0580781414994,947,16
17,772.321752265861,662,17
19,2645.0879795396418,1955,19
20,328.9441805225653,421,20
21,487.340782122905,179,21
22,1209.3626974483598,4938,22
24,272.77777777777777,126,24
25,2246.7934272300467,2769,25
