PISO_ALTITUDINAL,P204_NOM,RENDIMIENTO_HA_median,RENDIMIENTO_HA_std,count,heladas,ZONA
Piso 1,ACHIOTE,583.3333333333334,272.48575694095365,53,0.0,Zona Intermedia
Piso 1,AGUAJE,7500.0,4891.890963854912,438,0.0,Zona Intermedia
Piso 1,AJI,5000.0,5122.03774530757,160,0.0,Zona Intermedia
Piso 1,AJONJOLI,1600.0,0.0,15,0.0,Zona Intermedia
Piso 1,ALCACHOFA,14000.0,2019.978305103767,69,0.0,Zona de Riesgo
Piso 1,ALFALFA,30000.0,21857.23256214598,218,5.0,Zona de Riesgo
Piso 1,ALGODON,2760.0,624.6275486147841,101,0.0,Zona Intermedia
Piso 1,ALMENDRO,1000.0,0.0,68,0.0,Zona Intermedia
Piso 1,ANONA,4133.333333333334,2567.3393291949615,38,0.0,Zona Intermedia
Piso 1,ARAZA,3000.0,58.91195987944635,52,0.0,Zona Intermedia
Piso 1,ARBOL DEL PAN,8000.0,1914.4061691271695,256,0.0,Zona Intermedia
Piso 1,ARROZ CASCARA,8000.0,1805.1057186089683,3502,3.0,Zona Intermedia
Piso 1,ARVEJA GRANO VERDE,6036.053130929791,36.5645484019168,36,0.0,Zona Intermedia
Piso 1,BROCOLI,13333.333333333334,0.0,4,0.0,Zona Optima
Piso 1,CACAO,600.0,423.6922319093268,3750,14.0,Zona Intermedia
Piso 1,CAFE PERGAMINO,1111.111111111111,550.6461978865332,259,0.0,Zona Intermedia
Piso 1,CAIMITO,4500.0,1791.992780003076,247,0.0,Zona Intermedia
Piso 1,CAMOTE,10000.0,9699.187639323058,190,0.0,Zona Intermedia
Piso 1,CAMU CAMU,3614.457831325301,701.1675558351117,3,0.0,Zona Intermedia
Piso 1,CARAMBOLA,7200.0,3056.6203208622555,422,0.0,Zona Intermedia
Piso 1,CAÑA BRAVA,5454.545454545454,748.987128064636,12,0.0,Zona Intermedia
Piso 1,CAÑA DE AZUCAR PARA AZUCAR,128571.42857142858,35995.52367890255,247,0.0,Zona de Riesgo
Piso 1,CAÑA DE AZUCAR PARA CHANCACA,24000.0,0.0,9,0.0,Zona Optima
Piso 1,CAÑA DE AZUCAR PARA FRUTA,15000.0,14999.651528768025,104,0.0,Zona de Riesgo
Piso 1,CAÑA GUAYAQUIL,10000.0,13618.399188322792,176,0.0,Zona Intermedia
Piso 1,CEBOLLA CHINA,10000.0,1705.6085023111677,234,0.0,Zona Intermedia
Piso 1,CHIA,1261.8296529968454,0.0,23,0.0,Zona Intermedia
Piso 1,CHIRIMOYO,4000.000000000001,3527.356609372692,431,0.0,Zona Intermedia
Piso 1,CIDRA,10000.0,452.20258677630346,40,0.0,Zona Intermedia
Piso 1,CIROLERO,6666.666666666667,2515.7483271280303,368,0.0,Zona Intermedia
Piso 1,CIRUELA AGRIA,7500.0,2710.765918892747,457,0.0,Zona Intermedia
Piso 1,CIRUELA DEL FRAILE,6666.666666666667,1772.7903129888657,36,0.0,Zona Intermedia
Piso 1,COCA,613.3333333333334,456.48515182790055,759,0.0,Zona Intermedia
Piso 1,COCONA,4500.0,1582.310141580983,58,0.0,Zona Intermedia
Piso 1,COCOTERO,12500.0,7603.032821627189,2590,0.0,Zona de Riesgo
Piso 1,CUBE,12500.0,0.0,19,0.0,Zona Optima
Piso 1,CULANTRO,9000.0,664.1505028312173,73,0.0,Zona Intermedia
Piso 1,ESPARRAGO,3500.0,1078.5790411344224,83,0.0,Zona Intermedia
Piso 1,FRESA,8333.333333333334,1721.8525437141288,58,0.0,Zona Intermedia
Piso 1,FRIJOL ALUBIA GRANO SECO,1500.0,0.0,41,0.0,Zona Intermedia
Piso 1,FRIJOL ALUBIA GRANO VERDE,3200.0,0.0,42,0.0,Zona Intermedia
Piso 1,FRIJOL BAYO GRANO SECO,1582.7338129496402,6.994458938131821,40,0.0,Zona Intermedia
Piso 1,FRIJOL BLANCO GRANO VERDE,2500.0,0.0,30,0.0,Zona Intermedia
Piso 1,FRIJOL CANARIO GRANO SECO,1000.0,0.0,20,0.0,Zona Intermedia
Piso 1,FRIJOL CAUPI GRANO SECO,1404.494382022472,331.76941800105726,46,0.0,Zona Intermedia
Piso 1,FRIJOL CAUPI GRANO VERDE,2760.0,1620.4864620567757,36,0.0,Zona Intermedia
Piso 1,FRIJOL DE PALO GRANO SECO,1533.3333333333337,180.434691481464,45,0.0,Zona Intermedia
Piso 1,FRIJOL DE PALO GRANO VERDE,4000.0,1734.287476323959,110,0.0,Zona Intermedia
Piso 1,FRIJOL HUASCA POROTO GRANO SECO,1840.0,0.0,15,0.0,Zona Intermedia
Piso 1,FRIJOL LOCTAO GRANO VERDE,1250.0,0.0,12,0.0,Zona Intermedia
Piso 1,FRIJOL PANAMITO GRANO SECO,1000.0,0.0,9,0.0,Zona Intermedia
Piso 1,GRANADO,10000.0,2122.033964385226,104,0.0,Zona Intermedia
Piso 1,GUANABANO,8000.0,3679.3559304807573,775,0.0,Zona Intermedia
Piso 1,GUAYABO,8125.0,3892.5315331905176,319,0.0,Zona Intermedia
Piso 1,HIGUERA,10000.0,2760.2622373694167,28,0.0,Zona Intermedia
Piso 1,HUMARI,3200.0,1196.615030841911,67,0.0,Zona Intermedia
Piso 1,LECHUGA,4000.0,1098.198228298465,11,0.0,Zona Intermedia
Piso 1,LENTEJA GRANO VERDE,8000.0,0.0,11,0.0,Zona Intermedia
Piso 1,LIMA,7500.0,3227.929741199263,649,0.0,Zona Intermedia
Piso 1,LIMON ACIDO,7500.0,6226.660191188617,2390,0.0,Zona Intermedia
Piso 1,LIMON DULCE,9000.0,3661.2967170209727,199,0.0,Zona Intermedia
Piso 1,LIMON RUGOSO,10000.0,5063.660971892638,105,0.0,Zona Intermedia
Piso 1,LUCUMO,8928.571428571428,4136.001908492621,207,0.0,Zona Intermedia
Piso 1,MACAMBO,7142.857142857143,0.0,14,0.0,Zona Intermedia
Piso 1,MAIZ AMARILLO DURO,8000.0,3209.627100067715,2696,0.0,Zona Intermedia
Piso 1,MAIZ AMILACEO,4545.454545454546,1699.314714377118,52,0.0,Zona Intermedia
Piso 1,MAIZ CHALA,22000.0,17582.055390478723,1020,4.0,Zona de Riesgo
Piso 1,MAIZ CHOCLO,14814.814814814816,3155.196289263755,68,0.0,Zona de Riesgo
Piso 1,MAIZ MORADO,3950.0,1078.081423155442,70,0.0,Zona Intermedia
Piso 1,MAMEY,10000.0,1406.706911512942,72,0.0,Zona Intermedia
Piso 1,MANDARINA,10000.0,6505.142492639423,657,0.0,Zona Intermedia
Piso 1,MANGO,9062.5,5062.2950090279155,2762,0.0,Zona Intermedia
Piso 1,MANI PARA FRUTA,4083.3333333333335,291.9447736912712,32,0.0,Zona Intermedia
Piso 1,MANZANO,11111.111111111111,5491.536400002642,180,0.0,Zona Intermedia
Piso 1,MARACUYA,10000.0,3666.017750672757,744,0.0,Zona Intermedia
Piso 1,MELOCOTONERO,3000.0,2288.4643247202353,29,0.0,Zona Intermedia
Piso 1,MORINGA,4000.0,0.0,8,0.0,Zona Intermedia
Piso 1,NABO,8474.57627118644,1580.0796576859777,62,0.0,Zona Intermedia
Piso 1,NARANJO,8000.0,5040.285068201932,1906,0.0,Zona Intermedia
Piso 1,NISPERO,10000.0,1282.4729401064421,19,0.0,Zona Intermedia
Piso 1,NONI,1666.6666666666667,3073.5263455342956,302,0.0,Zona Intermedia
Piso 1,OLIVO,4222.222222222223,0.0,13,0.0,Zona Intermedia
Piso 1,OREGANO,3333.333333333333,0.0,11,0.0,Zona Intermedia
Piso 1,PACAE,8000.0,3803.0646919299948,1991,12.0,Zona Intermedia
Piso 1,PALILLO,3200.0,317.37937498273624,53,0.0,Zona Intermedia
Piso 1,PALLAR GRANO SECO,1683.5016835016834,0.0,17,0.0,Zona Intermedia
Piso 1,PALTO,8333.333333333334,6008.424190177606,1609,0.0,Zona Intermedia
Piso 1,PAPAYA,10000.0,6041.834820178347,619,0.0,Zona Intermedia
Piso 1,PAPAYUELA,8000.0,0.0,22,0.0,Zona Intermedia
Piso 1,PAPRIKA,4775.2808988764045,0.0,32,0.0,Zona Intermedia
Piso 1,PASTO ANGLETON,70000.0,5985.90063311826,66,0.0,Zona de Riesgo
Piso 1,PASTO BRAQUIARIA,51538.46153846154,10885.366842561853,341,0.0,Zona de Riesgo
Piso 1,PASTO BRIZANTA,41000.0,14883.373102461648,439,0.0,Zona de Riesgo
Piso 1,PASTO CARRICILLO,48000.0,12060.453783110544,45,0.0,Zona de Riesgo
Piso 1,PASTO CHILENO,40000.0,10152.68081955174,114,0.0,Zona de Riesgo
Piso 1,PASTO CUBA VEINTIDOS,50000.0,0.0,26,0.0,Zona Optima
Piso 1,PASTO DACTYLIS,12500.0,20881.963444714613,55,0.0,Zona de Riesgo
Piso 1,PASTO ELEFANTE,71428.57142857142,34570.856293200064,608,0.0,Zona de Riesgo
Piso 1,PASTO GATEADORA,36000.0,0.0,11,0.0,Zona Optima
Piso 1,PASTO GRAMA AZUL,36000.0,8407.788596944449,11,0.0,Zona de Riesgo
Piso 1,PASTO GRAMA BLANCA,80000.0,0.0,121,0.0,Zona Optima
Piso 1,PASTO GRAMA CHILENA,41000.0,22757.677742397347,1730,0.0,Zona de Riesgo
Piso 1,PASTO GRAMALOTE,30000.0,16411.707088376148,39,0.0,Zona de Riesgo
Piso 1,PASTO MAICILLO,45000.0,0.0,68,0.0,Zona Optima
Piso 1,PASTO MARAFALFA,36000.0,0.0,30,0.0,Zona Optima
Piso 1,PASTO NATURAL MANEJADO,12000.0,1852.0960716819905,36,0.0,Zona de Riesgo
Piso 1,PASTO OLIVA,52000.0,7497.187956858147,39,0.0,Zona de Riesgo
Piso 1,PASTO PAJA LIMA,30000.0,13152.864686537512,31,0.0,Zona de Riesgo
Piso 1,PECANO,1090.9090909090908,0.0,41,0.0,Zona Intermedia
Piso 1,PERAL,6666.666666666667,0.0,42,0.0,Zona Intermedia
Piso 1,PIJUAYO FRUTA,6250.0,2863.267212242572,174,0.0,Zona Intermedia
Piso 1,PIJUAYO PALMITO,4000.0,659.5344356001652,26,0.0,Zona Intermedia
Piso 1,PITAHAYA,4500.0,1262.9202173148374,140,0.0,Zona Intermedia
Piso 1,PITUCA,10000.0,0.0,16,0.0,Zona Intermedia
Piso 1,PIÑA,16666.666666666668,5753.7651298392275,231,0.0,Zona de Riesgo
Piso 1,PLATANO,8000.0,3805.44551563674,5161,5.0,Zona Intermedia
Piso 1,POMARROSA,7500.0,2379.0546421003046,101,0.0,Zona Intermedia
Piso 1,SABILA,5750.0,0.0,18,0.0,Zona Intermedia
Piso 1,SACHACULANTRO,4000.0,395.76305915947063,27,0.0,Zona Intermedia
Piso 1,SANDIA,10000.0,15061.886685685882,144,0.0,Zona Intermedia
Piso 1,SORGO FORRAJERO,27333.33333333333,10312.22909670658,40,0.0,Zona de Riesgo
Piso 1,SOYA,500.0,0.0,11,0.0,Zona Intermedia
Piso 1,STEVIA,2400.0,0.0,5,0.0,Zona Intermedia
Piso 1,TAMARINDO,6000.0,4085.8219421884614,471,0.0,Zona Intermedia
Piso 1,TANGELO,7500.0,1251.9608975590859,181,0.0,Zona Intermedia
Piso 1,TANGERINA,4705.882352941177,0.0,7,0.0,Zona Intermedia
Piso 1,TAPERIBA,5000.0,1137.674585661543,195,0.0,Zona Intermedia
Piso 1,TARA,10000.0,294.24494316824973,22,0.0,Zona Intermedia
Piso 1,TOMATE,37500.0,2531.71497229459,67,0.0,Zona de Riesgo
Piso 1,TORONJA,9000.0,3742.830700703166,382,0.0,Zona Intermedia
Piso 1,TUMBO,3333.333333333333,0.0,11,0.0,Zona Intermedia
Piso 1,TUNA FRUTA,6000.0,0.0,35,0.0,Zona Intermedia
Piso 1,UNCUCHA,6000.0,0.0,15,0.0,Zona Intermedia
Piso 1,UVILLA,6500.0,3265.037705374944,104,0.0,Zona Intermedia
Piso 1,VAINITA,11594.202898550724,0.0,21,0.0,Zona Intermedia
Piso 1,YUCA,6857.142857142857,4933.938210847304,1143,0.0,Zona Intermedia
Piso 1,ZAPALLO,10040.0,8765.534455223726,36,0.0,Zona Intermedia
Piso 1,ZAPOTE,12500.0,5272.764835328929,483,0.0,Zona de Riesgo
Piso 1,ZARANDAJA GRANO VERDE,5000.0,576.2431727362674,30,0.0,Zona Intermedia
Piso 1,ZARZAMORA,8500.0,0.0,51,0.0,Zona Intermedia
Piso 2,ACHIOTE,1000.0,588.7633607609826,270,0.0,Zona Intermedia
Piso 2,AGUAJE,5000.0,867.7818874626242,43,0.0,Zona Intermedia
Piso 2,AJI,10066.239316239316,1450.33650245429,44,0.0,Zona Intermedia
Piso 2,ALFALFA,27906.97674418605,29950.931573246577,953,21.0,Zona de Riesgo
Piso 2,ALGODON,2500.0,0.0,12,0.0,Zona Intermedia
Piso 2,ANONA,3000.0,787.7200150465636,108,0.0,Zona Intermedia
Piso 2,ARBOL DEL PAN,1500.0,220.37727301308655,47,0.0,Zona Intermedia
Piso 2,ARRACACHA,8800.0,393.89277113386527,22,0.0,Zona Intermedia
Piso 2,ARROZ CASCARA,6504.065040650406,1770.2354790486856,13,0.0,Zona Intermedia
Piso 2,ARVEJA GRANO SECO,885.4166666666667,0.0,14,0.0,Zona Intermedia
Piso 2,ARVEJA GRANO VERDE,1800.0,0.0,7,0.0,Zona Intermedia
Piso 2,AZAFRAN,6666.666666666667,0.0,18,0.0,Zona Intermedia
Piso 2,BETARRAGA,11000.0,0.0,41,0.0,Zona Intermedia
Piso 2,CACAO,480.0,356.2342229080295,3045,0.0,Zona Intermedia
Piso 2,CAFE PERGAMINO,720.0,449.6429350032735,6036,15.0,Zona Intermedia
Piso 2,CAIMITO,10000.0,2397.31650742692,30,0.0,Zona Intermedia
Piso 2,CAMOTE,20000.0,0.0,27,0.0,Zona Optima
Piso 2,CANELA,10000.0,0.0,18,0.0,Zona Intermedia
Piso 2,CARAMBOLA,3500.0,427.4460286020235,74,0.0,Zona Intermedia
Piso 2,CAÑA DE AZUCAR PARA ALCOHOL,36571.42857142857,3209.723858323041,96,0.0,Zona de Riesgo
Piso 2,CAÑA DE AZUCAR PARA CHANCACA,48000.0,0.0,10,0.0,Zona Optima
Piso 2,CAÑA DE AZUCAR PARA FRUTA,32000.0,0.0,10,0.0,Zona Optima
Piso 2,CAÑA GUAYAQUIL,20000.0,633.8656910463862,21,0.0,Zona de Riesgo
Piso 2,CEBOLLA,12000.0,12246.087071103007,182,0.0,Zona de Riesgo
Piso 2,CHIRIMOYO,10000.0,2876.6580413792226,138,0.0,Zona Intermedia
Piso 2,CIROLERO,2000.0,467.66543163497073,74,0.0,Zona Intermedia
Piso 2,CIRUELA AGRIA,7000.0,710.8186533109109,20,0.0,Zona Intermedia
Piso 2,CIRUELA DEL FRAILE,2500.0,0.0,18,0.0,Zona Intermedia
Piso 2,COCA,552.0,262.00837450147094,1929,0.0,Zona Intermedia
Piso 2,COCONA,2000.0,2122.0623381793366,52,0.0,Zona Intermedia
Piso 2,COCOTERO,5000.0,5057.604764961543,119,0.0,Zona Intermedia
Piso 2,CUBE,12500.0,1044.4646625875853,110,0.0,Zona de Riesgo
Piso 2,FRIJOL BAYO GRANO VERDE,1840.0,223.168327869576,66,0.0,Zona Intermedia
Piso 2,FRIJOL CAUPI GRANO SECO,1333.3333333333337,287.8002766016355,48,0.0,Zona Intermedia
Piso 2,FRIJOL CHAUCHA GRANO SECO,1000.0,340.31991550218197,43,0.0,Zona Intermedia
Piso 2,FRIJOL CHAUCHA GRANO VERDE,1150.0,0.0,17,0.0,Zona Intermedia
Piso 2,FRIJOL DE PALO GRANO SECO,800.0,189.53733981203771,117,0.0,Zona Intermedia
Piso 2,FRIJOL DE PALO GRANO VERDE,1000.0,1943.8820599223577,39,0.0,Zona Intermedia
Piso 2,FRIJOL GUINDA GRANO SECO,1333.3333333333337,0.0,22,0.0,Zona Intermedia
Piso 2,FRIJOL LANTREJA GRANO VERDE,1680.0,413.14180839773854,26,0.0,Zona Intermedia
Piso 2,FRIJOL NEGRO GRANO SECO,800.0,0.0,16,0.0,Zona Intermedia
Piso 2,FRIJOL PALOMA GRANO SECO,1150.0,0.0,35,0.0,Zona Intermedia
Piso 2,FRIJOL PANAMITO GRANO SECO,1333.3333333333337,298.2239827036874,20,0.0,Zona Intermedia
Piso 2,FRIJOL PINTO GRANO SECO,666.6666666666667,0.0,8,0.0,Zona Intermedia
Piso 2,FRIJOL PINTO GRANO VERDE,1200.0,0.0,8,0.0,Zona Intermedia
Piso 2,FRIJOL RED KIDNEY GRANO SECO,842.1052631578948,72.06052066632617,21,0.0,Zona Intermedia
Piso 2,GRANADILLA,8000.0,3083.15575788523,133,0.0,Zona Intermedia
Piso 2,GRANADO,7142.857142857143,1450.0431051163919,128,0.0,Zona Intermedia
Piso 2,GUANABANO,5000.0,4011.831695435234,199,0.0,Zona Intermedia
Piso 2,GUAYABO,7500.0,2282.5032336820605,148,0.0,Zona Intermedia
Piso 2,HIGUERA,3750.0,3355.033812506724,290,0.0,Zona Intermedia
Piso 2,KION,5000.0,1350.534583774822,72,0.0,Zona Intermedia
Piso 2,LECHUGA,12000.0,0.0,41,0.0,Zona Optima
Piso 2,LIMA,8750.0,3635.2000666694025,396,0.0,Zona Intermedia
Piso 2,LIMON ACIDO,6000.0,5636.718503506835,905,0.0,Zona Intermedia
Piso 2,LIMON DULCE,8000.0,3211.4088105773703,165,0.0,Zona Intermedia
Piso 2,LIMON RUGOSO,8000.0,5120.04222709959,402,0.0,Zona Intermedia
Piso 2,LUCUMO,5000.0,2359.111322432338,190,0.0,Zona Intermedia
Piso 2,MAIZ AMARILLO DURO,2000.0,1948.741072352002,2048,0.0,Zona Intermedia
Piso 2,MAIZ AMILACEO,3703.703703703704,2005.6251367275884,213,0.0,Zona Intermedia
Piso 2,MAIZ CHALA,34305.31732418525,10934.623258481559,154,0.0,Zona de Riesgo
Piso 2,MAIZ CHOCLO,5000.0,4337.100492029912,60,0.0,Zona Intermedia
Piso 2,MAIZ MORADO,4090.9090909090905,2099.2166979883737,227,0.0,Zona Intermedia
Piso 2,MANDARINA,9000.0,6175.6997216594145,1076,0.0,Zona Intermedia
Piso 2,MANGO,9000.0,6325.826425161969,1759,0.0,Zona Intermedia
Piso 2,MANI PARA FRUTA,6557.377049180328,2868.3562091086865,48,0.0,Zona Intermedia
Piso 2,MANZANO,6250.0,6771.976421962142,265,0.0,Zona Intermedia
Piso 2,MARACUYA,5000.0,887.5454358963148,92,0.0,Zona Intermedia
Piso 2,MELOCOTONERO,8333.333333333334,2783.2219548557105,271,0.0,Zona Intermedia
Piso 2,MEMBRILLERO,5625.0,3686.7354651819383,51,0.0,Zona Intermedia
Piso 2,NARANJO,7692.307692307692,6040.262235483571,1907,0.0,Zona Intermedia
Piso 2,NISPERO,5000.0,2805.900243019612,59,0.0,Zona Intermedia
Piso 2,NONI,1500.0,2578.9257793213865,82,0.0,Zona Intermedia
