"ID","Nombre","Categoria","Estatus_Repro","X1","Es_Vaca","Es_Recria","Ficha","Leche_Ult","DEL_Ult","Año","Mes","Ubicacion","ID_Num"
"****","S/N","Vaca","Vacia/Abierta","****","TRUE","FALSE","c(""26-01-22"", ""22-06-21"", ""26-07-21"", ""14-06-21"", ""28-05-22"", ""12-06-22"", ""1-08-22"", ""4-12-21"", ""20-09-22"", ""25-03-22"") c(""SUBCLINICA"", ""PD"", ""PD"", ""PI"", ""AI"", ""AD"", ""PI"", ""PI"", ""PD"", ""AI"") c(""CEFTILON3"", ""PBU4+ENR5+ENL1"", ""MEL4+CEM1+GENT6"", ""BIOFL4+MULTIJ6"", ""NEO+ENRO4+MUL5"", ""GENT+ENR4+MUL5"", ""NEO+ENRO4+MULT5"", ""BIO3+ENRO7"", ""NEO3+MULT5"", ""BIO+ENR4+MULT5"") c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA) c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA) c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA) c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA) c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA) c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA) c(""MASTITIS.csv"", ""MASTITIS.csv"", ""MASTITIS.csv"", ""MASTITIS.csv"", ""MASTITIS.csv"", ""MASTITIS.csv"", ""MASTITIS.csv"", ""MASTITIS.csv"", ""MASTITIS.csv"", ""MASTITIS.csv"") c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA) c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA) c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA) c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA) c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA) **** TRUE FALSE",NA,NA,"2025","Julio","7PULILI",NA
"-108","S/N","Vaca","Vacia/Abierta","-108","TRUE","FALSE","17-12-24 PI NEO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -108 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-108
"-118","S/N","Vaca","Vacia/Abierta","-118","TRUE","FALSE","24-02-25 AI NEO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -118 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-118
"-12","S/N","Vaca","Vacia/Abierta","-12","TRUE","FALSE","23-03-25 AD NEO+ENR4+ANTIM5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -12 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-12
"-125","S/N","Vaca","Vacia/Abierta","-125","TRUE","FALSE","24-04-25 PI NEO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -125 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-125
"-126","S/N","Vaca","Vacia/Abierta","-126","TRUE","FALSE","31-12-24 AD NEO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -126 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-126
"-127","S/N","Vaca","Vacia/Abierta","-127","TRUE","FALSE","28-11-24 PD NEO4+ANTI6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -127 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-127
"-137","S/N","Vaca","Vacia/Abierta","-137","TRUE","FALSE","25-12-24 PI NEO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -137 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-137
"-144","S/N","Vaca","Vacia/Abierta","-144","TRUE","FALSE","16-02-25 AD NEO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -144 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-144
"-158","S/N","Vaca","Vacia/Abierta","-158","TRUE","FALSE","1-02-25 AI MEL4+GENT6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -158 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-158
