"ID_Vaca","Grupo","Estatus","DIM","Leche_AM","Leche_Total","Leche_Anterior","Variacion","CCS","Casos_Mastitis","Ultimo_Tratamiento","Proxima_Revision","Ultimo_Evento_Vet","Toro","Cant_Insem","Fecha_Insem","Dias_Faltan","IEP","Servicios","Categoria","Estatus_Repro","Conteo_Mastitis","Año","Mes","Ubicacion"
"2833","4","Preñ2","532","12.83","24.5","24.4","-0.19","13565","2","NEO4+ENRO6",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","2",2025,"Julio","7PULILI"
"2871","4","Matar","551","13.23","25.4","24","-0.47","13876","3","NEO4+ENRO6",NA,NA,NA,NA,NA,NA,"0","7","Vaca","Abierta/Vacia","3",2025,"Julio","7PULILI"
"2942","4","Insem","398","19.52","38.1","35.6","-0.53","7950",NA,NA,NA,NA,"INDEPENDANT","3","1-09-25",NA,"474","3","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"2950","4","Preñ","408","17.4","35","34","-0.29","8718","1","ENRO3        ENROLA2+MULT5","26-02-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"2995","4","Preñ2","549","13.28","26.8","26","-0.23","12869","3","NEO4+ENR6+ANT4",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","3",2025,"Julio","7PULILI"
"3023","4","Preñ2","410","20.01","37.9","28.9","-3.19","7933","2","BIO4+ENRO6","30-01-26","VACUNA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","2",2025,"Julio","7PULILI"
"3047","4","Preñ","537","16","33.1","31.7","0.01","14132",NA,NA,"21-02-26","PREPARTO",NA,NA,NA,"-1",NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3117","4","Insem","394","19.71","38.3","36.6","-0.43","7601","1","BIO4+ENRO6",NA,NA,"INDEPENDANT","3","1-09-25",NA,"470","3","Vaca","Inseminada/Preñada","1",2025,"Julio","7PULILI"
"3134","4","Preñ","405","16.68","34.2","32.3","-0.1","7548",NA,NA,"12-02-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3143","4","Preñ2","412","17.85","36.5","35","-0.23","7854","1","BI4+EN6+NE4+AN6","24-01-26","PREPARTO",NA,NA,NA,"-29",NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"3144","4","Preñ","471","12.61","24.2","23.2","-0.03","8602",NA,NA,"22-02-26","PREPARTO",NA,NA,NA,"0",NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3163","4","Preñ","401","17.5","34.3","34.3","-0.24","7311","3","NEO4+ENRO6","17-01-26","VACUNA",NA,NA,NA,"4",NA,NA,"Vaca","Abierta/Vacia","3",2025,"Julio","7PULILI"
"3169","4","Preñ","439","16.37","33.3","32.3","-0.2","9256",NA,NA,"22-02-26","PREPARTO",NA,NA,NA,"0",NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
