"ID_Vaca","Estatus_Auditado","Grupo","Ultima_Insem","Dias_Desde_Insem","IEP"
"3269","Insem 2","5","5 25-08-",NA,597
"3317","Insem 2","5","4 6-09-2",NA,455
"3251","Insem 2","5","4 15-09-",NA,630
"3372","Insem 1","9","1 25-08-",NA,NA
"3364","Insem 1","9","1 25-08-",NA,NA
"3346","Insem 1","9","1 1-09-2",NA,NA
"3379","Insem 1","9","1 8-09-2",NA,NA
"3380","Insem 1","9","1 15-09-",NA,NA
"3376","Insem 1","9","2 23-09-",NA,NA
"3339","Insem 1","9","2 23-09-",NA,NA
"3041","Insem 1","7","2 10-09-",NA,NA
"2770","Insem 1","7","1 22-09-",NA,NA
"2843","Matar 1","7","1 21-07-",25,0
"3246","Insem 1","6","1 19-09-",NA,NA
"3090","Insem 1","5","1 12-09-",NA,NA
"3212","Insem 1","5","1 12-09-",NA,NA
"3250","Insem 1","5","1 12-09-",NA,NA
"3221","Insem 1","5","1 22-09-",NA,NA
"3192","Insem 1","5","1 22-09-",NA,NA
"3215","Insem 1","4","1 25-08-",NA,NA
"3193","Insem 1","4","1 1-09-2",NA,NA
"2826","Insem 1","4","1 1-09-2",NA,NA
"2691","Insem 1","4","3 1-09-2",NA,NA
"3211","Insem 1","4","3 1-09-2",NA,NA
"3170","Insem 1","4","2 3-09-2",NA,NA
"3086","Insem 1","4","1 8-09-2",NA,NA
"3199","Insem 1","4","4 13-09-",NA,NA
"3202","Insem 1","4","1 15-09-",NA,NA
"3073","Insem 1","4","3 15-09-",NA,NA
"3236","Insem 1","4","1 22-09-",NA,NA
"2686","Insem 1","4","1 22-09-",NA,NA
"3177","Insem 1","4","1 22-09-",NA,NA
"3027","Insem 1","2","3 26-08-",NA,NA
"2948","Insem 1","2","2 7-09-2",NA,NA
"2788","Insem 1","2","2 12-09-",NA,NA
"2979","Insem 1","2","3 15-09-",NA,NA
"2909","Insem 1","2","2 15-09-",NA,NA
"3035","Insem 1","2","1 22-09-",NA,NA
"3161","Insem 1","1","3 1-09-2",NA,NA
"3020","Insem 1","1","1 8-09-2",NA,NA
"3321","Insem 1","1","1 8-09-2",NA,NA
"3349","Insem 1","1","2 12-09-",NA,NA
"2972","Insem 1","1","2 12-09-",NA,NA
"3368","Insem 1","1","4 17-09-",NA,NA
"3386","Insem","8","1 12-09-",NA,NA
"3355","Insem","8","1 15-09-",NA,NA
"3365","Insem","8","1 22-09-",NA,NA
"2942","Insem","4","3   1-09",NA,NA
"3117","Insem","4","3 1-09-2",NA,470
"2871","Matar","4","7 18-06-",NA,0
"2656","Prepa","32 5","3",NA,NA
"2748","Preñ","12 5","2",NA,NA
"2827","Seca","32 4","1",NA,NA
"2833","Preñ2","4 4","5",NA,NA
"2867","Preñ","11 3","6",NA,NA
"2869","Preñ","25 3","4",NA,NA
"2912","Preñ","25 3","5",NA,NA
"2913","Prepa","22 3","4",NA,NA
"2924","Preñ","14 4","1",NA,NA
"2933","Preñ","12 3","2",NA,NA
"2950","Preñ","4 4","3",NA,NA
"2987","Preñ","25 3","3",NA,NA
"2991","Preñ2","18 3","2",NA,NA
"2995","Preñ2","4 3","2",NA,NA
"3000","Prepa","22 3","2",NA,NA
"3018","Preñ","14 3","1",NA,NA
"3023","Preñ2","4 3","1",NA,NA
"3028","Preñ","14 3","3",NA,NA
"3047","Preñ","4 2","4",NA,NA
"3058","Preñ2","25 2","10",NA,NA
"3065","Seca","32 2","3",NA,NA
"3076","Preñ2","11 2","3",NA,NA
"3087","Seca","32 2","1",NA,NA
"3110","Seca","32 2","3",NA,NA
"3120","Preñ","17 2","3",NA,NA
"3122","Prepa","32 2","3",NA,NA
"3123","Prepa","22 2","2",NA,NA
"3124","Preñ","14 2","2",NA,NA
"3134","Preñ","4 2","3",NA,NA
"3143","Preñ2","4 2","1",NA,NA
"3144","Preñ","4 2","3",NA,NA
"3145","Preñ","11 2","1",NA,NA
"3148","Preñ","12 2","2",NA,NA
"3154","Preñ","14 2","1",NA,NA
"3155","Preñ","12 2","2",NA,NA
"3157","Preñ","11 2","1",NA,NA
"3163","Preñ","4 2","2",NA,NA
"3166","Preñ","14 2","2",NA,NA
"3168","Preñ","14 2","2",NA,NA
"3169","Preñ","4 2","2",NA,NA
"3172","Preñ","10 2","1",NA,NA
"3174","Preñ","18 2","3",NA,NA
"3189","Preñ","14 2","1",NA,NA
"3197","Preñ2","25 1","4",NA,NA
"3205","Preñ","14 2","1",NA,NA
"3207","Preñ2","18 1","6",NA,NA
"3209","Preñ","14 2","1",NA,NA
"3231","Preñ2","18 1","4",NA,NA
"3232","Prepa","22 1","3",NA,NA
"3252","Seca","32 1","3",NA,NA
"3256","Seca","32 1","2",NA,NA
"3260","Seca","32 1","1",NA,NA
"3266","Prepa","22 1","2",NA,NA
"3271","Prepa","22 1","1",NA,NA
"3275","Preñ2","25 1","3",NA,NA
"3276","Preñ","18 1","3",NA,NA
"3277","Seca","32 1","1",NA,NA
"3280","Preñ","17 1","3",NA,NA
"3282","Preñ","25 1","4",NA,NA
"3283","Preñ","25 1","5",NA,NA
"3286","Preñ2","18 1","1",NA,NA
"3288","Preñ2","18 1","1",NA,NA
"3289","Preñ2","18 1","2",NA,NA
"3290","Preñ","18 1","5",NA,NA
"3295","Preñ2","18 1","3",NA,NA
"3297","Preñ2","18 1","1",NA,NA
"3298","Preñ","19 1","1",NA,NA
"3299","Preñ2","18 1","2",NA,NA
"3306","Preñ2","18 1","1",NA,NA
"3307","Preñ2","18 1","1",NA,NA
"3308","Preñ","19 1","2",NA,NA
"3311","Preñ","18 1","2",NA,NA
"3319","Preñ2","18 1","1",NA,NA
"3320","Preñ","25 1","3",NA,NA
"3322","Preñ2","18 1","1",NA,NA
"3323","Preñ","17 1","3",NA,NA
"3324","Preñ","25 1","2",NA,NA
"3326","Preñ","25 1","1",NA,NA
"3328","Preñ","12 1","5",NA,NA
"3332","Preñ","18 1","2",NA,NA
"3334","Preñ2","25 1","1",NA,NA
"3335","Preñ","25 1","2",NA,NA
"3337","Preñ","11 1","2",NA,NA
"3338","Preñ","25 1","1",NA,NA
"3340","Preñ","19 1","1",NA,NA
"3341","Preñ","18 1","2",NA,NA
"3350","Preñ","19 1","1",NA,NA
"3351","Preñ","18 1","2",NA,NA
"3352","Preñ","18 1","2",NA,NA
"3354","Preñ","19 1","1",NA,NA
"3356","Preñ","19 1","2",NA,NA
"3358","Preñ","19 1","1",NA,NA
"3360","Preñ","19 1","1",NA,NA
"3361","Preñ","10 1","1",NA,NA
"3363","Preñ","19 1","1",NA,NA
"3366","Preñ","10 1","2",NA,NA
"3369","Preñ","19 1","1",NA,NA
"3371","Preñ","11 1","1",NA,NA
